"tid","report_id","input","probe_cc","probe_asn","test_name","test_start_time","measurement_start_time","filename","scores","platform"
"00cdc002eea2acb25cee6b8fbfbc9197","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.geod7.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:17:18","00cdc002eea2acb25cee6b8fbfbc9197.json.lz4","{""blocking_general"":2.4977265419,""blocking_global"":0.0,""blocking_country"":1.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00af885d8baae2e1dd790db07a5d1fff","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","https://defcon.org/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:04","00af885d8baae2e1dd790db07a5d1fff.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00f2470ba5f736ae36977e1bc1a0013b","20191123T031536Z_AS16322_sYQFq8muN5bFjllPalfNCW45VFfwSaGUA4IIgewEIOTuqWzhzy",,"IR",16322,"http_header_field_manipulation","2019-11-23 03:15:34","2019-11-23 03:15:36","00f2470ba5f736ae36977e1bc1a0013b.json.lz4","{""blocking_general"":1.1,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""msg"":""14 unexpected header change""}","ios"
"001482d1838cd367b7d71113b31db92b","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://abdolkarimrajabi.persianblog.ir/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:16:49","001482d1838cd367b7d71113b31db92b.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"0068a087d8f191efc9d1f37615731873","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","https://twitpic.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:17:17","0068a087d8f191efc9d1f37615731873.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"005c64230b2fcdd4152ee405ad9dd423","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://sook.ir/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:44","005c64230b2fcdd4152ee405ad9dd423.json.lz4","{""blocking_general"":0.5,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"004e02207f285ba9c6199624351dd9c9","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.last.fm/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:19:39","004e02207f285ba9c6199624351dd9c9.json.lz4","{""blocking_general"":2.4959948356,""blocking_global"":0.0,""blocking_country"":1.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00045e2462c207a4b794ea4bca1f848a","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.afterellen.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:16:48","00045e2462c207a4b794ea4bca1f848a.json.lz4","{""blocking_general"":2.4972401271,""blocking_global"":0.0,""blocking_country"":1.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"005a018156fe341c7aae11765475aef2","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","https://thehackernews.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:09","005a018156fe341c7aae11765475aef2.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00664b7dc80b11e3de127de341813495","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","https://pt.m.wikipedia.org/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:58","00664b7dc80b11e3de127de341813495.json.lz4","{""blocking_general"":0.5,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"004d06070b6f5887c5cd4dbe315f68a2","20191123T031622Z_AS16322_rulNjv0OBuxVIHzD6lPMZKUMeRLCOUkndXbMAFH8EFIcXKnnZ5",,"IR",16322,"dash","2019-11-23 03:16:20","2019-11-23 03:16:22","004d06070b6f5887c5cd4dbe315f68a2.json.lz4","{""blocking_general"":0.1,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"0040db245381acd87d998e1640d9076d","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.datpiff.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:17:13","0040db245381acd87d998e1640d9076d.json.lz4","{""blocking_general"":2.4957357273,""blocking_global"":0.0,""blocking_country"":1.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"0068c144d432b1eb1476d52ec6d6dcc6","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","https://pbs.twimg.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:17:33","0068c144d432b1eb1476d52ec6d6dcc6.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"008f3678d47dbeed76bc59712432c40f","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.gmhc.org/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:53","008f3678d47dbeed76bc59712432c40f.json.lz4","{""blocking_general"":2.4875542456,""blocking_global"":0.0,""blocking_country"":1.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00a1654c27112a7db66c9273e7f5d247","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","https://www.shoe.org/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:59","00a1654c27112a7db66c9273e7f5d247.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"009daa1d3b8d57f6541075277efd11b5","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.ansarnet.8m.net/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:17:28","009daa1d3b8d57f6541075277efd11b5.json.lz4","{""blocking_general"":2.4878175845,""blocking_global"":0.0,""blocking_country"":1.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00241b2006c52283c45b4562073a83c7","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.amd.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:17:38","00241b2006c52283c45b4562073a83c7.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00173ba6208f9bcddfdbbbb9e63f10d8","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://groups.yahoo.com/group/dokhtarahamashoonjendan/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:50","00173ba6208f9bcddfdbbbb9e63f10d8.json.lz4","{""blocking_general"":1.4143485427,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00c0af2143f886c0b09bd1392ed1564d","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.aryanews.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:19:33","00c0af2143f886c0b09bd1392ed1564d.json.lz4","{""blocking_general"":0.5,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00e86cd593005aa998e9e6b54e1afeb6","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://3docean.net/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:16:52","00e86cd593005aa998e9e6b54e1afeb6.json.lz4","{""blocking_general"":1.4999603128,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00cf58db516b26f96d61a6510b9febfa","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.anbacom.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:17:50","00cf58db516b26f96d61a6510b9febfa.json.lz4","{""blocking_general"":2.3551000953,""blocking_global"":0.0,""blocking_country"":1.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00d221a8a14905ae9bb778feabc0fe63","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://memarinews.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:16","00d221a8a14905ae9bb778feabc0fe63.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00b5ebbc24989a30b6528448d9b2645c","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.friendster.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:19:23","00b5ebbc24989a30b6528448d9b2645c.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"002a4d7c9e23e022235e855ac22acaed","20191123T031559Z_AS16322_hNLZWU4x2SCaThr6qZQno3LZy4gQ5gazO5KnGwkkQv7rQtYKC6",,"IR",16322,"http_invalid_request_line","2019-11-23 03:15:57","2019-11-23 03:16:00","002a4d7c9e23e022235e855ac22acaed.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"005d5dda6bd49327771f02f6b32cc6f5","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.buddhanet.net/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:16:58","005d5dda6bd49327771f02f6b32cc6f5.json.lz4","{""blocking_general"":2.4896330647,""blocking_global"":0.0,""blocking_country"":1.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00053ed97bb8f4af1150f707cc142c06","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.theregister.co.uk/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:17:59","00053ed97bb8f4af1150f707cc142c06.json.lz4","{""blocking_general"":0.0243020058,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"0094064e249fe1c73ad3002c8c6c4a7b","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.jewwatch.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:49","0094064e249fe1c73ad3002c8c6c4a7b.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00a923ec38e773d2dcd8fe0f94ae5f13","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","https://jensiat.io/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:19:24","00a923ec38e773d2dcd8fe0f94ae5f13.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
