,measurement_start_time,as_holder,probe_asn,input,domain,explorer_url,probe_cc,False,dns,false,http-diff,http-failure,tcp_ip
0,2020-02-01 13:38:57,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,https://tacticaltech.org/,tacticaltech.org,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=https%3A%2F%2Ftacticaltech.org%2F,IR,0,1,0,0,0,0
1,2020-02-01 13:38:59,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,http://www.orthodoxconvert.info/,www.orthodoxconvert.info,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=http%3A%2F%2Fwww.orthodoxconvert.info%2F,IR,0,1,0,0,0,0
2,2020-02-01 13:39:02,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,https://www.rambler.ru/,www.rambler.ru,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=https%3A%2F%2Fwww.rambler.ru%2F,IR,0,0,0,0,1,0
3,2020-02-01 13:39:09,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,http://karinovin.com/,karinovin.com,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=http%3A%2F%2Fkarinovin.com%2F,IR,0,1,0,0,0,0
4,2020-02-01 13:39:13,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,http://www.2ddepot.com/,www.2ddepot.com,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=http%3A%2F%2Fwww.2ddepot.com%2F,IR,0,1,0,0,0,0
5,2020-02-01 13:39:25,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,https://www.okaz.com.sa/,www.okaz.com.sa,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=https%3A%2F%2Fwww.okaz.com.sa%2F,IR,0,1,0,0,0,0
6,2020-02-01 13:39:27,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,http://www.exgay.com/,www.exgay.com,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=http%3A%2F%2Fwww.exgay.com%2F,IR,0,1,0,0,0,0
7,2020-02-01 13:39:37,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,https://kayhan.london/fa/,kayhan.london,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=https%3A%2F%2Fkayhan.london%2Ffa%2F,IR,0,0,0,0,1,0
8,2020-02-01 13:39:42,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,http://www.blubster.com/,www.blubster.com,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=http%3A%2F%2Fwww.blubster.com%2F,IR,0,1,0,0,0,0
9,2020-02-01 13:39:45,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,https://ipi.media/,ipi.media,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=https%3A%2F%2Fipi.media%2F,IR,0,1,0,0,0,0
