,measurement_start_time,anomaly,confirmed,report_id,probe_cc,probe_asn,test_name,test_runtime,input,domain,blocking,http_experiment_failure,dns_experiment_failure,control_failure,body_simhash,body_sha256,test_ip,client_resolver,control_ip,explorer_url
0,2020-01-04 16:38:56,,,20200104T163857Z_AS136255_c9e50WoKjzYfZIFBI7KfW3RUZNjCYEx1Hl0gM1T3CfBWkYCLEi,MM,136255,web_connectivity,2.88943,http://yopepya.wunzinn.com,yopepya.wunzinn.com,false,dns_lookup_error,,,,,,172.68.241.32,,https://explorer.ooni.org/measurement/20200104T163857Z_AS136255_c9e50WoKjzYfZIFBI7KfW3RUZNjCYEx1Hl0gM1T3CfBWkYCLEi?input=http%3A%2F%2Fyopepya.wunzinn.com
1,2020-01-04 16:48:35,,,20200104T164830Z_AS136255_gKxY5OUWmkI8a46hckwMaJlpCVc5HxPG1z9CyYwwgKkdhRbWMM,MM,136255,web_connectivity,72.0155,http://www.gamenode.com/,www.gamenode.com,,generic_timeout_error,,generic_timeout_error,,,['173.255.141.6'],172.68.241.32,,https://explorer.ooni.org/measurement/20200104T164830Z_AS136255_gKxY5OUWmkI8a46hckwMaJlpCVc5HxPG1z9CyYwwgKkdhRbWMM?input=http%3A%2F%2Fwww.gamenode.com%2F
2,2020-01-09 02:32:07,,,20200109T023058Z_AS58952_S7wZsV3apRIyqpZXMgNItgf6xN4LDx7z3KAl5RBUy122s8SzXS,MM,58952,web_connectivity,1.78664,http://www.nmsp.info/,www.nmsp.info,false,dns_lookup_error,,,,,,172.217.47.5,,https://explorer.ooni.org/measurement/20200109T023058Z_AS58952_S7wZsV3apRIyqpZXMgNItgf6xN4LDx7z3KAl5RBUy122s8SzXS?input=http%3A%2F%2Fwww.nmsp.info%2F
3,2020-01-09 02:31:38,True,,20200109T023058Z_AS58952_S7wZsV3apRIyqpZXMgNItgf6xN4LDx7z3KAl5RBUy122s8SzXS,MM,58952,web_connectivity,2.03455,https://cites.org/,cites.org,dns,connect_error,,,,,,172.217.47.5,"['104.27.164.69', '104.27.165.69']",https://explorer.ooni.org/measurement/20200109T023058Z_AS58952_S7wZsV3apRIyqpZXMgNItgf6xN4LDx7z3KAl5RBUy122s8SzXS?input=https%3A%2F%2Fcites.org%2F
4,2020-01-14 15:17:03,True,,20200114T151623Z_AS133385_V3rGW3tEiVwXMSVkxduR0oei0PE3KSq8GJzIS570a0Abc9XOHt,MM,133385,web_connectivity,19.8566,https://extratorrent.cc/,extratorrent.cc,http-failure,http_empty_location_header,,,0.0,<memory at 0x7f3675607708>,"['104.31.16.3', '104.31.17.3']",103.255.174.220,"['104.31.16.3', '104.31.17.3']",https://explorer.ooni.org/measurement/20200114T151623Z_AS133385_V3rGW3tEiVwXMSVkxduR0oei0PE3KSq8GJzIS570a0Abc9XOHt?input=https%3A%2F%2Fextratorrent.cc%2F
5,2020-01-14 15:16:50,,,20200114T151623Z_AS133385_V3rGW3tEiVwXMSVkxduR0oei0PE3KSq8GJzIS570a0Abc9XOHt,MM,133385,web_connectivity,4.71108,https://www.engenderhealth.org/,www.engenderhealth.org,false,ssl_error: error:14007086:SSL routines:CONNECT_CR_CERT:certificate verify failed,,,,,['72.47.244.98'],103.255.174.220,['72.47.244.98'],https://explorer.ooni.org/measurement/20200114T151623Z_AS133385_V3rGW3tEiVwXMSVkxduR0oei0PE3KSq8GJzIS570a0Abc9XOHt?input=https%3A%2F%2Fwww.engenderhealth.org%2F
6,2020-01-20 21:34:59,,,20200120T213444Z_AS133384_Y87dAjJ8Ufpphofn1IP6sxDX4Xtvrdhe3DqZm404oLcVqzK4ks,MM,133384,web_connectivity,113.739,http://www.moeyyo.com/,www.moeyyo.com,,dns_lookup_error,,generic_timeout_error,,,,172.253.211.73,,https://explorer.ooni.org/measurement/20200120T213444Z_AS133384_Y87dAjJ8Ufpphofn1IP6sxDX4Xtvrdhe3DqZm404oLcVqzK4ks?input=http%3A%2F%2Fwww.moeyyo.com%2F
7,2020-02-07 15:32:10,,,20200207T153114Z_AS133384_CTrXxHmEPskxs6CtioWVIp2clZ0B6nmnFTtcBbX9MMHrs8yo4J,MM,133384,web_connectivity,72.6881,http://www.asiaobserver.com/southeast-asia,www.asiaobserver.com,,dns_lookup_error,,generic_timeout_error,,,,172.253.211.72,,https://explorer.ooni.org/measurement/20200207T153114Z_AS133384_CTrXxHmEPskxs6CtioWVIp2clZ0B6nmnFTtcBbX9MMHrs8yo4J?input=http%3A%2F%2Fwww.asiaobserver.com%2Fsoutheast-asia
8,2020-02-07 15:32:07,,,20200207T153114Z_AS133384_CTrXxHmEPskxs6CtioWVIp2clZ0B6nmnFTtcBbX9MMHrs8yo4J,MM,133384,web_connectivity,1.28982,http://www.bearshare.com/,www.bearshare.com,false,dns_lookup_error,,,,,,172.253.211.72,,https://explorer.ooni.org/measurement/20200207T153114Z_AS133384_CTrXxHmEPskxs6CtioWVIp2clZ0B6nmnFTtcBbX9MMHrs8yo4J?input=http%3A%2F%2Fwww.bearshare.com%2F
9,2020-02-07 15:31:14,,,20200207T153114Z_AS133384_CTrXxHmEPskxs6CtioWVIp2clZ0B6nmnFTtcBbX9MMHrs8yo4J,MM,133384,web_connectivity,42.3053,http://www.connotea.org/,www.connotea.org,false,generic_timeout_error,,,,,['199.168.13.77'],172.253.211.72,['199.168.13.77'],https://explorer.ooni.org/measurement/20200207T153114Z_AS133384_CTrXxHmEPskxs6CtioWVIp2clZ0B6nmnFTtcBbX9MMHrs8yo4J?input=http%3A%2F%2Fwww.connotea.org%2F
10,2020-02-07 15:31:14,,,20200207T153114Z_AS133384_CTrXxHmEPskxs6CtioWVIp2clZ0B6nmnFTtcBbX9MMHrs8yo4J,MM,133384,web_connectivity,1.96961,http://www.paephuhlwarmagazine.asia/,www.paephuhlwarmagazine.asia,false,dns_lookup_error,,,,,,172.253.211.72,,https://explorer.ooni.org/measurement/20200207T153114Z_AS133384_CTrXxHmEPskxs6CtioWVIp2clZ0B6nmnFTtcBbX9MMHrs8yo4J?input=http%3A%2F%2Fwww.paephuhlwarmagazine.asia%2F
11,2020-02-08 17:44:25,,,20200208T174334Z_AS136255_7NHeyZ6YU0lZU6ZBUkxle89ExBCVQQhyY9PuDYyRfTdQApH7DM,MM,136255,web_connectivity,34.2026,http://earth-liberation-front.org/,earth-liberation-front.org,,dns_lookup_error,,generic_timeout_error,,,,172.253.211.77,,https://explorer.ooni.org/measurement/20200208T174334Z_AS136255_7NHeyZ6YU0lZU6ZBUkxle89ExBCVQQhyY9PuDYyRfTdQApH7DM?input=http%3A%2F%2Fearth-liberation-front.org%2F
12,2020-02-17 10:31:47,,,20200217T103047Z_AS133385_vYLapLXFmwnYQz7r3mbRFWYJchY0oMchddp3q8WVr3PyPTClLH,MM,133385,web_connectivity,2.14131,http://www.wallpapergate.com/,www.wallpapergate.com,false,dns_lookup_error,,,,,,103.255.174.220,,https://explorer.ooni.org/measurement/20200217T103047Z_AS133385_vYLapLXFmwnYQz7r3mbRFWYJchY0oMchddp3q8WVr3PyPTClLH?input=http%3A%2F%2Fwww.wallpapergate.com%2F
13,2020-02-19 03:47:40,,,20200219T034639Z_AS133385_HFrjUf3y2yFrHTm4oAhJkyTevMW3wU5MFTmCzjcd5p4yxXdzvI,MM,133385,web_connectivity,11.8685,https://pyidaungsu.hluttaw.mm/,pyidaungsu.hluttaw.mm,false,ssl_error: error:14007086:SSL routines:CONNECT_CR_CERT:certificate verify failed,,,,,['139.162.54.215'],103.255.174.220,['139.162.54.215'],https://explorer.ooni.org/measurement/20200219T034639Z_AS133385_HFrjUf3y2yFrHTm4oAhJkyTevMW3wU5MFTmCzjcd5p4yxXdzvI?input=https%3A%2F%2Fpyidaungsu.hluttaw.mm%2F
14,2020-02-19 03:49:33,,,20200219T034821Z_AS133385_ylm5KlpGfsgokmp4iFDOhhP6QJJU1UpLkwI2rRZsFen8BHFmwU,MM,133385,web_connectivity,6.24861,http://web.unep.org/,web.unep.org,false,ssl_error: error:14007086:SSL routines:CONNECT_CR_CERT:certificate verify failed,,,,,['13.59.100.248'],103.255.174.220,['13.59.100.248'],https://explorer.ooni.org/measurement/20200219T034821Z_AS133385_ylm5KlpGfsgokmp4iFDOhhP6QJJU1UpLkwI2rRZsFen8BHFmwU?input=http%3A%2F%2Fweb.unep.org%2F
15,2020-02-19 03:48:56,,,20200219T034821Z_AS133385_ylm5KlpGfsgokmp4iFDOhhP6QJJU1UpLkwI2rRZsFen8BHFmwU,MM,133385,web_connectivity,2.02304,http://home.absdf8888.org/,home.absdf8888.org,false,dns_lookup_error,,,,,,103.255.174.220,,https://explorer.ooni.org/measurement/20200219T034821Z_AS133385_ylm5KlpGfsgokmp4iFDOhhP6QJJU1UpLkwI2rRZsFen8BHFmwU?input=http%3A%2F%2Fhome.absdf8888.org%2F
16,2020-02-20 18:02:24,,,20200220T180220Z_AS133385_Lu35h8Z4igcKUiKvtDTG7iqkvF0xAl3mAqrS02NLFluiNQNKog,MM,133385,web_connectivity,71.2535,http://crackspider.net/,crackspider.net,,generic_timeout_error,,generic_timeout_error,,,['109.201.131.14'],103.255.174.220,,https://explorer.ooni.org/measurement/20200220T180220Z_AS133385_Lu35h8Z4igcKUiKvtDTG7iqkvF0xAl3mAqrS02NLFluiNQNKog?input=http%3A%2F%2Fcrackspider.net%2F
17,2020-02-20 18:02:41,,,20200220T180220Z_AS133385_Lu35h8Z4igcKUiKvtDTG7iqkvF0xAl3mAqrS02NLFluiNQNKog,MM,133385,web_connectivity,14.0043,http://www.radicalparty.org/,www.radicalparty.org,false,ssl_error: error:14007086:SSL routines:CONNECT_CR_CERT:certificate verify failed,,,,,['31.31.41.108'],103.255.174.220,['31.31.41.108'],https://explorer.ooni.org/measurement/20200220T180220Z_AS133385_Lu35h8Z4igcKUiKvtDTG7iqkvF0xAl3mAqrS02NLFluiNQNKog?input=http%3A%2F%2Fwww.radicalparty.org%2F
