domain,category_code,category_description,explorer_url
idelrea.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fidelrea.gitlab.io%2F
ikhwanonline.com,POLR,Political Criticism,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fikhwanonline.com%2F
kat.am,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkat.am%2F
archive.is,HOST,Hosting and Blogging Platforms,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Farchive.is%2F
limetorrents.pro,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Flimetorrents.pro%2F
legalrc.com,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Flegalrc.com%2F
www.spr.ru,COMM,E-commerce,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.spr.ru%2F
soundcloud.com,CULTR,Culture,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fsoundcloud.com%2F
radiomarsh.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fradiomarsh.gitlab.io%2F
www.khodorkovsky.ru,POLR,Political Criticism,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.khodorkovsky.ru%2F
www.navalny.com,POLR,Political Criticism,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.navalny.com%2F
svobod.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fsvobod.gitlab.io%2F
www.zaprava.ru,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.zaprava.ru%2F
ichkeria.info,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fichkeria.info%2F
goldfishka66.com,GMB,Gambling,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fgoldfishka66.com%2F
ultrasurf.us,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fultrasurf.us%2F
www.hidemyass.com,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.hidemyass.com%2F
qph.fs.quoracdn.net,GRP,Social Networking,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fqph.fs.quoracdn.net%2Fmain-thumb-1117688072-200-uijiqfjcmlvaxczdrlawbgyaomfocdnt.jpeg
www.scribd.com,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.scribd.com%2F
www.themoscowtimes.com,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.themoscowtimes.com%2F
www.pokerstars.com,GMB,Gambling,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fwww.pokerstars.com%2F
azadliq.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fazadliq.gitlab.io%2F
