url,category_code,category_description,explorer_url,domain
https://idelrea.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fidelrea.gitlab.io%2F,idelrea.gitlab.io
http://ikhwanonline.com/,POLR,Political Criticism,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fikhwanonline.com%2F,ikhwanonline.com
https://kat.am/,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkat.am%2F,kat.am
https://archive.is/,HOST,Hosting and Blogging Platforms,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Farchive.is%2F,archive.is
https://limetorrents.pro/,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Flimetorrents.pro%2F,limetorrents.pro
https://legalrc.com/,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Flegalrc.com%2F,legalrc.com
https://www.spr.ru/,COMM,E-commerce,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.spr.ru%2F,www.spr.ru
https://soundcloud.com/,CULTR,Culture,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fsoundcloud.com%2F,soundcloud.com
https://radiomarsh.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fradiomarsh.gitlab.io%2F,radiomarsh.gitlab.io
https://www.khodorkovsky.ru/,POLR,Political Criticism,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.khodorkovsky.ru%2F,www.khodorkovsky.ru
https://www.navalny.com/,POLR,Political Criticism,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.navalny.com%2F,www.navalny.com
https://svobod.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fsvobod.gitlab.io%2F,svobod.gitlab.io
https://www.zaprava.ru/,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.zaprava.ru%2F,www.zaprava.ru
https://ichkeria.info/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fichkeria.info%2F,ichkeria.info
https://goldfishka66.com/,GMB,Gambling,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fgoldfishka66.com%2F,goldfishka66.com
https://ultrasurf.us/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fultrasurf.us%2F,ultrasurf.us
https://www.hidemyass.com/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.hidemyass.com%2F,www.hidemyass.com
https://qph.fs.quoracdn.net/main-thumb-1117688072-200-uijiqfjcmlvaxczdrlawbgyaomfocdnt.jpeg,GRP,Social Networking,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fqph.fs.quoracdn.net%2Fmain-thumb-1117688072-200-uijiqfjcmlvaxczdrlawbgyaomfocdnt.jpeg,qph.fs.quoracdn.net
https://www.scribd.com/,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.scribd.com%2F,www.scribd.com
https://www.themoscowtimes.com/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.themoscowtimes.com%2F,www.themoscowtimes.com
http://www.pokerstars.com/,GMB,Gambling,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fwww.pokerstars.com%2F,www.pokerstars.com
https://azadliq.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fazadliq.gitlab.io%2F,azadliq.gitlab.io
https://scontent-vie1-1.cdninstagram.com/favicon.ico,GRP,Social Networking,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fscontent-vie1-1.cdninstagram.com%2Ffavicon.ico,scontent-vie1-1.cdninstagram.com
https://radiosvobod.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fradiosvobod.gitlab.io%2F,radiosvobod.gitlab.io
http://thepiratebay.org/,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fthepiratebay.org%2F,thepiratebay.org
https://deeprism.com/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fdeeprism.com%2F,deeprism.com
https://golosamer.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fgolosamer.gitlab.io%2F,golosamer.gitlab.io
https://rargb.to/,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Frargb.to%2F,rargb.to
https://severrea.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fseverrea.gitlab.io%2F,severrea.gitlab.io
https://thehiddenwiki.org/,HOST,Hosting and Blogging Platforms,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fthehiddenwiki.org%2F,thehiddenwiki.org
https://www.novayagazeta.ru/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.novayagazeta.ru%2F,www.novayagazeta.ru
https://kavkaz.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkavkaz.gitlab.io%2F,kavkaz.gitlab.io
https://ua.krymr.com/radio/schedule/101/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fua.krymr.com%2Fradio%2Fschedule%2F101%2F,ua.krymr.com
http://www.anonymizer.ru/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fwww.anonymizer.ru%2F,www.anonymizer.ru
https://ua.krymr.com/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fua.krymr.com%2F,ua.krymr.com
https://amnesty.org.ru/,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Famnesty.org.ru%2F,amnesty.org.ru
https://www.chess.com/,GAME,Gaming,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.chess.com%2F,www.chess.com
