ctgr,input,probe_asn,measurement_start_time,location,accessible,blocking,explorer,api
PORN,http://www.babylon-x.com,24863,2017-06-02 0:21:10,http://static.dbmads.com/404.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170602T000046Z_AS24863_O4J6YId5VMNxm9vKOHKs9KcP2rmtcd0yyCw8XL85qQCGjcf6FC?input=http://www.babylon-x.com,http://api.ooni.io/api/v1/measurement/temp-id-67046024
PORN,http://www.babylon-x.com,24863,2017-06-04 0:11:55,http://go.pub2srv.com/afu.php?zoneid=1251527,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170604T000101Z_AS24863_z0H7JYh3jPJWJGY6lzsdEUjxayBYpGUBacJva43YeA8irWLxuT?input=http://www.babylon-x.com,http://api.ooni.io/api/v1/measurement/temp-id-67385046
PORN,http://www.babylon-x.com,24863,2017-06-04 0:11:55,http://static.dbmads.com/static.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170604T000101Z_AS24863_z0H7JYh3jPJWJGY6lzsdEUjxayBYpGUBacJva43YeA8irWLxuT?input=http://www.babylon-x.com,http://api.ooni.io/api/v1/measurement/temp-id-67385046
PORN,http://www.babylon-x.com,8452,2017-06-04 8:08:59,http://go.pub2srv.com/afu.php?zoneid=1251527,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170604T075102Z_AS8452_zbpJ7JDsbnj7zRpzQI6cBQ8Mhe0F0vWPryWmqd29l6Ej764JW5?input=http://www.babylon-x.com,http://api.ooni.io/api/v1/measurement/temp-id-67449194
PORN,http://www.babylon-x.com,24863,2017-06-05 0:36:21,http://static.dbmads.com/404.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170605T002605Z_AS24863_bT83rHDPyk8zhaCDQXOfBumPrFAWCRerRABfETxbSAZLmsjsNi?input=http://www.babylon-x.com,http://api.ooni.io/api/v1/measurement/temp-id-67561090
PORN,http://www.babylon-x.com,8452,2017-06-08 0:42:40,http://static.dbmads.com/404.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170608T000333Z_AS8452_e8HpUGOVGRo4JP10Q4fB33bxpcpfdNbQikGbuxfJfVLqsHUJ6B?input=http://www.babylon-x.com,http://api.ooni.io/api/v1/measurement/temp-id-68083852
,http://baathparty.sy/site/arabic,8452,2017-06-12 12:30:34,http://static.dbmads.com/statics.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170612T122646Z_AS8452_8w1SSZ5Mfel16uiPnFRKq3qS6B20FuMmf0RKKOBbEbLm7lYYl8?input=http://baathparty.sy/site/arabic,http://api.ooni.io/api/v1/measurement/temp-id-68950847
,http://cryptostorm.is,8452,2017-06-12 12:35:22,http://static.dbmads.com/statics.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170612T123508Z_AS8452_69SXjzvX0UuLlnHA5q4lkUUjua180wwbJfRmdWwHdZlgKxs7E6?input=http://cryptostorm.is,http://api.ooni.io/api/v1/measurement/temp-id-68915116
COMT,http://www.pc2call.com,8452,2017-06-19 11:14:57,http://static.dbmads.com/static.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170619T095512Z_AS8452_BSEj7ArNs6ynRvZejXfW6xtPlmSJctOOZiNdQNHfbEDKbclAYq?input=http://www.pc2call.com,http://api.ooni.io/api/v1/measurement/temp-id-112346810
CULTR,http://www.schwarzreport.org,8452,2017-06-19 11:19:34,http://static.dbmads.com/static.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170619T095512Z_AS8452_BSEj7ArNs6ynRvZejXfW6xtPlmSJctOOZiNdQNHfbEDKbclAYq?input=http://www.schwarzreport.org,http://api.ooni.io/api/v1/measurement/temp-id-112346890
NEWS,http://www.sos-reporters.net,8452,2017-06-19 11:21:02,http://static.dbmads.com/static.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170619T095512Z_AS8452_BSEj7ArNs6ynRvZejXfW6xtPlmSJctOOZiNdQNHfbEDKbclAYq?input=http://www.sos-reporters.net,http://api.ooni.io/api/v1/measurement/temp-id-112346925
HOST,http://technorati.com/,8452,2017-06-19 11:21:56,http://static.dbmads.com/static.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170619T095512Z_AS8452_BSEj7ArNs6ynRvZejXfW6xtPlmSJctOOZiNdQNHfbEDKbclAYq?input=http://technorati.com/,http://api.ooni.io/api/v1/measurement/temp-id-112346946
IGO,http://www.un.org/docs/sc/,8452,2017-06-19 11:23:45,http://static.dbmads.com/static.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170619T095512Z_AS8452_BSEj7ArNs6ynRvZejXfW6xtPlmSJctOOZiNdQNHfbEDKbclAYq?input=http://www.un.org/docs/sc/,http://api.ooni.io/api/v1/measurement/temp-id-112346988
IGO,http://www.un.org/rights/,8452,2017-06-19 11:23:46,http://static.dbmads.com/static.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170619T095512Z_AS8452_BSEj7ArNs6ynRvZejXfW6xtPlmSJctOOZiNdQNHfbEDKbclAYq?input=http://www.un.org/rights/,http://api.ooni.io/api/v1/measurement/temp-id-112346989
HATE,http://www.vanguardnewsnetwork.com,8452,2017-06-19 11:24:23,http://static.dbmads.com/static.html,f,http-diff,https://explorer.ooni.torproject.org/measurement/20170619T095512Z_AS8452_BSEj7ArNs6ynRvZejXfW6xtPlmSJctOOZiNdQNHfbEDKbclAYq?input=http://www.vanguardnewsnetwork.com,http://api.ooni.io/api/v1/measurement/temp-id-112347005
