,calc_registration_server_status,anmly_color,calc_whatsapp_web_status,probe_cc,probe_asn,report_id,test_start_time
0,ok,green,ok,ET,AS24757,20190617T214036Z_AS24757_RkEd4z8mcNGsQSm7acmIylmF9V0Gl3OyNvDFoZWvwMiOlWNkiO,2019-06-17 21:40:30
1,ok,green,ok,ET,AS24757,20190617T175735Z_AS24757_VfIu7LDnhF1Yzi831FkYHRJgx4BZTtuDXWGGGeuJ4fh968MDBU,2019-06-17 17:56:46
2,ok,green,ok,ET,AS24757,20190617T170444Z_AS24757_zxTiDk1AzHGyDJd7ylBekjDIV0eQ5FONkm4t44ANqKnRplcRvR,2019-06-17 17:04:39
3,ok,green,ok,ET,AS24757,20190617T123731Z_AS24757_O4hpbS6483Bxj5V7TGZ1uQ5HDsrxXE0gWgOiRlIfAWZJP2bXAr,2019-06-17 12:37:28
4,blocked,red,blocked,ET,AS24757,20190617T090445Z_AS24757_JYxl2iql5qd32NSxmz2G9frUx62QfWkAPTluBarSV5TUGoZTpi,2019-06-17 09:04:40
5,blocked,red,blocked,ET,AS24757,20190617T082832Z_AS24757_Me8IjgPnx8JYdijFwcAhpT86KnTAO9I3QsINep0w8pOv1oVpSF,2019-06-17 08:28:29
6,blocked,red,blocked,ET,AS24757,20190616T124137Z_AS24757_OkJV7OTNFUKSTKl7LeAzPdDPPd1gzhrz7E47A3svdGd5szbqOr,2019-06-16 12:41:34
7,blocked,red,blocked,ET,AS24757,20190615T222712Z_AS24757_09UEwFGtRtkAa3aQELf2YjWgYQpivcUftSmZQSDVlMkuoPUYZI,2019-06-15 22:27:06
8,blocked,red,blocked,ET,AS24757,20190617T082554Z_AS24757_2xVbOUgy85m184g5hL86hzEsTbrlckWvP4ugQgCD0LWV9p3cvo,2019-06-17 08:24:48
9,blocked,red,blocked,ET,AS24757,20190615T084000Z_AS24757_RBFDB6vfTwqkBq5EPFFWTseTYQsyeYZ8Q1W4sx7Ux0UwWfo0Lv,2019-06-15 08:39:57
10,blocked,red,blocked,ET,AS24757,20190617T094036Z_AS24757_0J9kMVRFY0P4pA88FLyZGFHCprYq9SLP8915CTT8E9qE4a6xQl,2019-06-17 09:40:20
11,blocked,red,blocked,ET,AS24757,20190615T070253Z_AS24757_gRi6dhAqgWa7Yp4tah4LX6Rl1j6c8kJuja3OgZranEpMicEj2p,2019-06-15 07:02:48
12,ok,green,ok,ET,AS24757,20190617T142109Z_AS24757_2UW3JByHAk2G6ry9Afo9oG7BpCX6gbYBE42xyTGLUFbQngK3eQ,2019-06-17 14:21:03
13,ok,green,ok,ET,AS24757,20190617T101028Z_AS24757_jFV9RYgWx65yZcbvkZqfOpE7a7DbdCBqFu0GfFJnomWBnHlrvw,2019-06-17 10:10:21
14,blocked,red,ok,ET,AS24757,20190615T081631Z_AS24757_NafA1DQMRQl69tAO5TF1jggGpK4q0PDYVqFR8df4sufOlYyi31,2019-06-15 08:16:27
15,ok,green,ok,ET,AS24757,20190522T055138Z_AS24757_f6Om0uxyL9Mi4g2WmsBY8nXBRGogCEzveNV85UgGvKXYjUpzt2,2019-05-22 05:51:30
16,ok,red,ok,ET,AS24757,20190530T233635Z_AS24757_426sZKUlec6QeeMfCo8mo6WMHMGmmfXLdtyYMuljwIpoRslt0b,2019-05-30 23:36:19
17,blocked,red,blocked,ET,AS24757,20190615T084409Z_AS24757_qoImONiQKkrQ3yGEKBvDlpAlOocQHMzJiylBSiFuOLDbPV67Cu,2019-06-15 08:43:43
18,blocked,red,blocked,ET,AS24757,20190615T083833Z_AS24757_tsNNWe1hz9ZX4hPoqbmIRqHZJ0qRomZB0XVlc5AxbRUYFcW0Na,2019-06-15 08:38:04
19,blocked,red,blocked,ET,AS24757,20190612T155709Z_AS24757_lPXNcOTMFF3neBU3TSILtWMyPr9M8sVfJ2CD1rr3MaxlOJW7b9,2019-06-12 15:56:37
20,blocked,red,blocked,ET,AS24757,20190615T215418Z_AS24757_NKzIEujAd7rEN95SsIZnraLm1yjqdU79EqczVKFLUzsOJh4DLE,2019-06-15 21:49:51
21,ok,green,ok,ET,AS24757,20190520T072416Z_AS24757_gmpuzAvzBUq3I60VaS2osDOKYWpvlq7KIqkIVK7zlB9JcsRRUf,2019-05-20 07:24:09
22,ok,red,ok,ET,AS24757,20190530T141122Z_AS24757_hqnHCVMfQvyt9LU7wKOAkV9r4okWMCeEPMIGpBBjcLyT0haNiI,2019-05-30 14:11:24
23,ok,green,ok,ET,AS24757,20190520T184715Z_AS24757_scqBUFJyY2rYnkSBbh3CJx448VecuYfvKVF31jE15loNZYU9ai,2019-05-20 18:47:11
24,ok,green,ok,ET,AS24757,20190505T170420Z_AS24757_dYhJFuyH2xh2RCaGSEKiy9fCIFkLgVsS9Vn5M68ZTGxpNExBOJ,2019-05-05 17:03:52
25,blocked,red,blocked,ET,AS24757,20190617T073942Z_AS24757_jEnnJHJ0uyOBfmC96aew0H4YmrMA6yqGmSxxqdUiPL45QSe2Sn,2019-06-17 07:39:38
