,anmly_color,calc_telegram_http_blocking,calc_telegram_tcp_blocking,calc_telegram_web_status,probe_cc,probe_asn,report_id,test_start_time,blocked_endpoints,accessible_endpoints
0,red,False,False,blocked,ET,AS24757,20190618T191136Z_AS24757_g1X22QAf4pCy8JvZDIk9Wi94pb33cfv0z3znMJN2OtxC1KpuR8,2019-06-18 19:11:28,0,10
1,red,False,False,blocked,ET,AS24757,20190618T093357Z_AS24757_0ksQEoJRnRPVymGl13WMwtVWvsLWt1eyzAe3y7IBY3rbQKNA64,2019-06-18 09:33:54,8,2
2,red,False,False,blocked,ET,AS24757,20190618T054901Z_AS24757_BrVcInjHrxaEAKznUId4wQSaYUEoTEZ7s19vMpQTXv7fOhxZsP,2019-06-18 05:48:55,8,2
3,red,False,False,blocked,ET,AS24757,20190618T052058Z_AS24757_G3A8YOA9vZ69I1DQ3Kc27GjBRmVlaMLor7Hza5X6peKgvY95VJ,2019-06-18 05:20:54,8,2
4,red,False,False,blocked,ET,AS24757,20190617T170451Z_AS24757_dp5UTgs6G7GksmHfKk9MvmdYfx37TZeHUzysEYQ831sCysSOVm,2019-06-17 17:04:47,8,2
5,red,False,False,blocked,ET,AS24757,20190617T123738Z_AS24757_Yv4huyKZ1DZ2GzVam6KrMY4SlAPMnrWuOzI1AHxw1cKTRXEC1V,2019-06-17 12:37:34,7,3
6,red,True,True,blocked,ET,AS24757,20190617T175810Z_AS24757_IJqrIxexkFSUWAXmTiKK0kJWDUuPVbJuhoksTa56flnZqSJEjC,2019-06-17 17:57:13,10,0
7,red,False,False,blocked,ET,AS24757,20190617T214046Z_AS24757_UiLH5lyAM8lMI7W3OjcNbJ3SQ0FYINJDVW1tIXFR11AGpuC7yU,2019-06-17 21:40:42,8,2
8,red,False,False,blocked,ET,AS24757,20190617T090551Z_AS24757_IyJ0cA4JuMWA1ReiFLI5jGWvJTN9chgpHAkDuIwT0ngx5s1grR,2019-06-17 09:05:48,8,2
9,red,False,False,blocked,ET,AS24757,20190617T082937Z_AS24757_2MiNp7kvFp5nurvQ8DD60o7qoUpruMoCmQYZ9NnupxI4cePmLH,2019-06-17 08:29:35,8,2
10,red,False,False,blocked,ET,AS24757,20190617T082704Z_AS24757_PoVlGfjq6ZMVQlqPVUPSPIpdsWyDbW4aORfcXdNtwLyBQVRLJD,2019-06-17 08:25:59,6,4
11,red,False,False,blocked,ET,AS24757,20190617T101034Z_AS24757_S6gjHDHmQUr6Cn4bV39vfNMarQgEcPBtPsrt84wNAb97Q9nQJF,2019-06-17 10:10:28,8,2
12,red,False,False,blocked,ET,AS24757,20190618T065001Z_AS24757_88ePAzbGUPn59lE2bpNCIHGcDydkPoPQor2orvPAyRtBjiBvDm,2019-06-18 06:49:22,8,2
13,red,False,False,blocked,ET,AS24757,20190616T123729Z_AS24757_Es95HpIHVjVSsKJdb7nyfnOXznjoTOvkTCB5xB8RX3iPEPenFi,2019-06-16 12:37:24,8,2
14,red,False,False,blocked,ET,AS24757,20190617T123148Z_AS24757_pmNDuS0JiOg2h59NtFitxzOtMmJ2Mnf3Y2hMfo1q2fisIQrGb8,2019-06-17 12:31:42,8,2
15,red,False,False,blocked,ET,AS24757,20190618T102750Z_AS24757_OOaSGa87f7dakcFS5KaRFwvMCQWm0mwZFI3iHo117lNWWTTNdx,2019-06-18 10:27:47,8,2
16,red,False,False,blocked,ET,AS24757,20190617T074057Z_AS24757_oMYZMpQp7eDTOCy6vnFvPkhXM6Nf6Wj2FSgmT8Ruo3ZPBaBopn,2019-06-17 07:40:55,6,4
17,red,False,False,blocked,ET,AS24757,20190615T083944Z_AS24757_FD5zNbePbrhHPRZd8JblzhHP87hYlUp8AhzD7RzvJXX8QdOQLh,2019-06-15 08:39:18,8,2
18,red,False,False,blocked,ET,AS24757,20190615T081709Z_AS24757_FANFStg03BCb9qb2fCVI7Rf0ENZPNDFM1rNm3ZiUjYmPlh6cYh,2019-06-15 08:17:06,7,3
19,red,False,False,blocked,ET,AS24757,20190615T215543Z_AS24757_k8ArG48Rw6ZilIbCleyzHsSPw23h6NJ6E4jJbVgzbFi4Wz8CNA,2019-06-15 21:51:20,8,2
20,red,False,False,blocked,ET,AS24757,20190615T222820Z_AS24757_4flsDD8gZDpmh2jr60nmgLuGGymkNsRA8HOejGDOFZZDEWr6EP,2019-06-15 22:28:17,8,2
