a_probe_asn,input,calc_blockpage,catcode,a_test_start_time
AS0,http://www.moderndrunkardmagazine.com,not-blocked,ALDR,1
AS132165,http://www.moderndrunkardmagazine.com,not-blocked,ALDR,1
AS23674,http://www.moderndrunkardmagazine.com,id-surf-safe-0,ALDR,8
AS23674,http://www.moderndrunkardmagazine.com,not-blocked,ALDR,54
AS45595,http://www.moderndrunkardmagazine.com,not-blocked,ALDR,166
AS45669,http://www.moderndrunkardmagazine.com,not-blocked,ALDR,1
AS9260,http://www.moderndrunkardmagazine.com,not-blocked,ALDR,1
AS23674,http://accesstoblockedsites.com/browse.php?u=Oi8vd3d3LmFsbGZyZWVtb3ZpZXMuY29t&b=5&f=norefer,id-surf-safe-0,ANON,3
AS23674,http://accesstoblockedsites.com/browse.php?u=Oi8vd3d3LmFsbGZyZWVtb3ZpZXMuY29t&b=5&f=norefer,not-blocked,ANON,67
AS23674,http://anonymouse.ws/anonwww.html,id-surf-safe-0,ANON,1
AS23674,http://anonymouse.ws/anonwww.html,not-blocked,ANON,73
AS23674,http://blockedsiteaccess.com,id-surf-safe-0,ANON,4
AS23674,http://blockedsiteaccess.com,not-blocked,ANON,64
AS23674,http://flyproxy.com,id-surf-safe-0,ANON,6
AS23674,http://flyproxy.com,not-blocked,ANON,68
AS23674,http://indianproxy.com,id-surf-safe-0,ANON,8
AS23674,http://jtunnel.com,id-surf-safe-0,ANON,3
AS23674,http://jtunnel.com,not-blocked,ANON,67
AS23674,http://kproxy.com/index.jsp,id-surf-safe-0,ANON,3
AS23674,http://kproxy.com/index.jsp,not-blocked,ANON,68
AS23674,http://mrnewguy.com,id-surf-safe-0,ANON,2
AS23674,http://mrnewguy.com,not-blocked,ANON,42
AS23674,http://proxify.com,id-surf-safe-0,ANON,1
AS23674,http://proxify.com,not-blocked,ANON,69
AS23674,http://proxy.computersteroids.com/index0.php,id-surf-safe-0,ANON,10
AS23674,http://proxy.computersteroids.com/index0.php,not-blocked,ANON,61
AS23674,http://stop-block.com,id-surf-safe-0,ANON,8
