input,blocking_cnt,msm_cnt,measurement_start_time,probe_asn,blocking,accessible,http_experiment_failure,title_match,dns_consistency,dns_experiment_failure,body_proportion,body_length_match,headers_match,status_code_match,explorer
http://iporntv.net,14,14,2018-09-27 15:26:34,37063,http-failure,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180927T152416Z_AS37063_eokDo0Q8AHmlN6tNyffevyRiQBrxfCunolCDU4DuRpCESywZQh?input=http://iporntv.net
http://iporntv.net,14,14,2018-09-28 12:18:34,20294,tcp_ip,FALSE,connect_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T121825Z_AS20294_u4UJT5wAUffzlxKZGGic55hBJ7Rr3DTuyLmkiYuXaLDtUoA494?input=http://iporntv.net
http://iporntv.net,14,14,2018-09-28 12:23:16,20294,http-failure,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T122151Z_AS20294_Gjz9V2twlHNIGfzR4yhPO2Opwg97MPJRjY9frNbD9iNqXI2KJW?input=http://iporntv.net
http://iporntv.net,14,14,2018-09-28 17:21:40,20294,tcp_ip,FALSE,connect_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T171730Z_AS20294_wszizC6nXsI8XmS0ohCCs1a5zKzvYLa2Yv3F6k0JKSz9Z9COei?input=http://iporntv.net
http://iporntv.net,14,14,2018-09-29 8:50:13,20294,tcp_ip,FALSE,connect_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180929T085004Z_AS20294_e05CresvHPhwpXFpBYDDAOjtDanFNusqbRMY28isH4SYONKnZR?input=http://iporntv.net
http://iporntv.net,14,14,2018-10-01 6:30:39,20294,tcp_ip,FALSE,connect_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T062449Z_AS20294_JqbaPPb0UwwGATqYfKQOhpj1e6gOkPfXD62efs9YkMTlYz5IXK?input=http://iporntv.net
http://iporntv.net,14,14,2018-10-01 8:09:14,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T080826Z_AS36991_xC2LmiTi5b8CFSa0wGIH4BSxjgtj03OLs6KQZMeBKYkbRguR71?input=http://iporntv.net
http://iporntv.net,14,14,2018-10-01 8:29:58,36991,tcp_ip,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T082856Z_AS36991_Iu8GXNUPgJgb9hG6EwyzHoROfU6Ou8Mgmf0kEDutk0UZ5MAX13?input=http://iporntv.net
http://iporntv.net,14,14,2018-10-01 11:07:50,20294,tcp_ip,FALSE,connect_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T110552Z_AS20294_T3BXxnYUnOhR5ESDNAKWOhkFg5zYdi0tuxnmXP2q5nwwsuE7yf?input=http://iporntv.net
http://iporntv.net,14,14,2018-10-01 11:30:22,29032,tcp_ip,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T112819Z_AS29032_qClDqWloUdeuFHE3VU31kts9fNUwLw7bWXNBRZk6xE6xuxi777?input=http://iporntv.net
http://iporntv.net,14,14,2018-10-02 12:41:04,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181002T123528Z_AS36991_h6IsvKjMEZMpKeYht3cAHtCd3u7PPzC8FZFHS9nlJsoUydfvsc?input=http://iporntv.net
http://iporntv.net,14,14,2018-10-03 6:50:21,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181003T064721Z_AS36991_JahqE7pUY3qLeJ7OS6SZkGFpQ58LT57yTkd32vj4PPlMXA1l6i?input=http://iporntv.net
http://iporntv.net,14,14,2018-10-03 7:27:38,37122,tcp_ip,FALSE,connect_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181003T072706Z_AS37122_Avvf1DoQU8kCrEdDBXYDkWXtMOwVy3fODMALyHrwvHBhgqZeSI?input=http://iporntv.net
https://escort.guide,10,14,2018-09-27 15:04:12,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180927T145950Z_AS20294_W3wJwIEoKpPhSbDJ1MMEfs7mWeF60DXdXKY53cVFuNZ1GjJOSK?input=https://escort.guide
https://escort.guide,10,14,2018-09-28 12:20:56,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T121825Z_AS20294_u4UJT5wAUffzlxKZGGic55hBJ7Rr3DTuyLmkiYuXaLDtUoA494?input=https://escort.guide
https://escort.guide,10,14,2018-09-28 17:17:30,20294,tcp_ip,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T171730Z_AS20294_wszizC6nXsI8XmS0ohCCs1a5zKzvYLa2Yv3F6k0JKSz9Z9COei?input=https://escort.guide
https://escort.guide,10,14,2018-09-29 8:50:18,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180929T085004Z_AS20294_e05CresvHPhwpXFpBYDDAOjtDanFNusqbRMY28isH4SYONKnZR?input=https://escort.guide
https://escort.guide,10,14,2018-10-01 6:30:13,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T062449Z_AS20294_JqbaPPb0UwwGATqYfKQOhpj1e6gOkPfXD62efs9YkMTlYz5IXK?input=https://escort.guide
https://escort.guide,10,14,2018-10-01 8:09:00,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T080826Z_AS36991_xC2LmiTi5b8CFSa0wGIH4BSxjgtj03OLs6KQZMeBKYkbRguR71?input=https://escort.guide
