hop1	ms1	hop2	ms2	hop3	ms3	hop4	ms4	hop5	ms5	hop6	ms6	hop7	ms7	hop8	ms8	hop9	ms9	hop10	ms10	hop11	ms11
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	77.0	200.16.71.86	125.4	10.82.1.6	127.0	*.*.*.*	0	*.*.*.*	0	172.26.8.93	126.8	CPE	159.4	CPE:ACK	158.7
37.218.242.254	0.2	195.190.28.1	0.5	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.10	132.3	*.*.*.*	0	10.82.1.74	130.2	172.26.8.61	131.2	CPE	163.7	CPE:ACK	164.1
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.5	200.16.69.46	76.6	200.16.71.86	125.4	10.82.1.2	126.4	*.*.*.*	0	10.82.1.74	125.8	172.26.8.125	126.8	CPE	159.7	CPE:ACK	159.0
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.9	200.16.71.86	125.8	10.82.1.2	125.5	*.*.*.*	0	10.82.1.154	125.7	172.26.8.93	127.1	CPE	158.9	CPE:ACK	159.8
*.*.*.*	0	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.2	125.3	*.*.*.*	0	10.82.1.154	125.8	172.26.8.29	126.6	CPE	207.9	CPE:ACK	206.2
*.*.*.*	0	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.9	200.16.71.86	125.4	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	131.2	172.26.8.125	131.0	CPE	209.9	CPE:ACK	207.3
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.6	200.16.69.46	76.6	200.16.71.86	131.8	10.82.1.6	125.4	*.*.*.*	0	10.82.1.154	125.6	172.26.8.61	127.0	CPE	158.9	CPE:ACK	159.7
*.*.*.*	0	195.190.28.1	0.3	80.249.212.8	83.8	200.16.69.46	76.7	200.16.71.86	125.7	10.82.1.2	125.3	*.*.*.*	0	10.82.1.74	125.7	172.26.8.93	126.6	CPE	159.1	CPE:ACK	157.8
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	80.2	200.16.69.46	76.7	200.16.71.86	126.7	10.82.1.2	125.1	*.*.*.*	0	10.82.1.154	125.6	172.26.8.93	126.6	CPE	159.7	CPE:ACK	159.7
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.1	200.16.69.46	76.8	200.16.71.86	125.4	10.82.1.2	125.2	*.*.*.*	0	10.82.1.74	125.8	172.26.8.29	126.6	CPE	158.9	CPE:ACK	159.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.6	125.3	*.*.*.*	0	10.82.1.154	125.9	172.26.8.29	126.6	CPE	159.1	CPE:ACK	159.9
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.6	200.16.69.46	76.8	200.16.71.86	125.3	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	131.7	172.26.8.93	131.5	CPE	164.2	CPE:ACK	163.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.6	125.4	*.*.*.*	0	10.82.1.74	125.8	172.26.8.125	127.0	CPE	158.9	CPE:ACK	159.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.2	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.2	125.3	*.*.*.*	0	10.82.1.74	125.7	172.26.8.61	127.0	CPE	158.3	CPE:ACK	159.2
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	126.7	10.82.1.2	125.2	*.*.*.*	0	10.82.1.74	160.1	172.26.8.61	127.2	CPE	158.1	CPE:ACK	159.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	126.7	10.82.1.2	125.4	*.*.*.*	0	10.82.1.154	125.6	172.26.8.93	126.7	CPE	159.7	CPE:ACK	163.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.2	125.3	*.*.*.*	0	10.82.1.154	125.8	172.26.8.29	126.8	CPE	158.6	CPE:ACK	159.1
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	125.3	10.82.1.10	129.4	*.*.*.*	0	10.82.1.74	130.0	172.26.8.93	130.8	CPE	162.6	CPE:ACK	163.6
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.2	200.16.69.46	76.8	200.16.71.86	141.3	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	129.8	172.26.8.29	130.7	CPE	163.5	CPE:ACK	164.1
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.2	125.5	*.*.*.*	0	10.82.1.154	125.6	172.26.8.61	127.3	CPE	158.4	CPE:ACK	162.3
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	128.1	10.82.1.6	125.4	*.*.*.*	0	10.82.1.74	125.9	172.26.8.29	126.4	CPE	158.8	CPE:ACK	159.3
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	129.8	172.26.8.61	131.1	CPE	164.1	CPE:ACK	167.2
